9:
 num     #instances         #bytes  class name (module)
 140:         23471         751072  io.grpc.netty.NettyClientHandler$2
 141:         21928         701696  io.grpc.internal.ChannelLoggerImpl
 142:         21843         698976  java.net.InterfaceAddress (java.base@21.0.6)
 143:         21714         694848  io.grpc.internal.ManagedChannelImpl$ExecutorHolder
 144:         10857         694848  io.grpc.internal.Rescheduler
 145:         41553         664848  java.util.concurrent.atomic.AtomicBoolean (java.base@21.0.6)
 146:         37488         599808  java.lang.Integer (java.base@21.0.6)
 147:          6223         597408  io.netty.buffer.PoolSubpage
 148:         24467         587208  java.util.concurrent.atomic.AtomicLong (java.base@21.0.6)
 149:          3961         570384  java.lang.reflect.Method (java.base@21.0.6)
 150:         23530         564720  io.netty.channel.VoidChannelPromise$1
 151:         23530         564720  io.netty.channel.epoll.AbstractEpollChannel$AbstractEpollUnsafe$1
 152:         23530         564720  io.netty.channel.epoll.LinuxSocket
 153:         23510         564240  io.netty.channel.epoll.AbstractEpollStreamChannel$1
 154:         23489         563736  io.grpc.Attributes
 155:         23488         563712  io.grpc.netty.WriteQueue$1
 156:         23488         563712  io.netty.handler.codec.http2.DefaultHttp2FrameWriter
 157:         23488         563712  io.netty.handler.codec.http2.DefaultHttp2LocalFlowController$1
 158:         23488         563712  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$1
 159:         23488         563712  io.netty.handler.codec.http2.WeightedFairQueueByteDistributor$1
 160:         23488         563712  io.netty.util.collection.CharObjectHashMap$1
 161:         23488         563712  io.netty.util.collection.CharObjectHashMap$EntrySet
 162:         23488         563712  io.netty.util.collection.CharObjectHashMap$KeySet
 163:         23471         563304  io.grpc.internal.CallCredentialsApplyingTransportFactory$CallCredentialsApplyingTransport$1
 164:         23471         563304  io.grpc.internal.InternalSubchannel$TransportLogger
 165:         23471         563304  io.grpc.netty.NettyClientHandler$FrameListener
 166:         23471         563304  io.grpc.netty.NettyClientHandler$PingCountingFrameWriter
 167:         23471         563304  io.netty.handler.codec.http2.StreamBufferingEncoder$1
 168:         23454         562896  io.grpc.netty.ProtocolNegotiators$GrpcNegotiationHandler
 169:         23454         562896  io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder$PrefaceFrameListener
 170:         11596         556608  java.lang.ref.WeakReference (java.base@21.0.6)
 171:         11072         531456  io.grpc.internal.AutoConfiguredLoadBalancerFactory$AutoConfiguredLoadBalancer
 172:         21915         525960  java.util.HashMap$KeySet (java.base@21.0.6)
 173:         21862         524688  java.util.concurrent.atomic.AtomicReference (java.base@21.0.6)
 174:         21722         521328  io.grpc.internal.FixedObjectPool
 175:         10857         521136  io.grpc.internal.ManagedChannelImpl$RealChannel
 176:         10857         521136  io.grpc.internal.ManagedChannelImpl$UncommittedRetriableStreamsRegistry
 177:         10856         521088  io.grpc.NameResolverRegistry
 178:         11072         442880  io.grpc.internal.PickFirstLoadBalancer
 179:         11071         442840  io.grpc.LoadBalancer$CreateSubchannelArgs
 180:          3948         442176  io.netty.buffer.PooledUnsafeDirectByteBuf
 181:         10975         439000  java.util.concurrent.CountDownLatch$Sync (java.base@21.0.6)
 182:         10857         434280  io.grpc.SynchronizationContext
 183:          3750         418520  [Ljava.lang.StackTraceElement; (java.base@21.0.6)
 184:          3546         397152  java.security.Provider$Service (java.base@21.0.6)
 185:         24257         388112  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.6)
 186:          6880         385280  io.netty.util.internal.shaded.org.jctools.queues.unpadded.MpscUnpaddedArrayQueue
 187:         11072         354304  io.grpc.internal.ManagedChannelImpl$LbHelperImpl
 188:         11071         354272  io.grpc.ConnectivityStateInfo
 189:         11071         354272  io.grpc.internal.InternalSubchannel$1
 190:         11071         354272  io.grpc.internal.InternalSubchannel$Index
 191:         11071         354272  io.grpc.internal.ManagedChannelImpl$SubchannelImpl$1ManagedInternalSubchannelCallback
 192:         11071         354272  io.grpc.internal.PickFirstLoadBalancer$1
 193:         10924         349544  [Ljava.net.InetAddress; (java.base@21.0.6)
 194:         10922         349496  [Ljava.net.InterfaceAddress; (java.base@21.0.6)
 195:         10857         347424  io.grpc.internal.AtomicBackoff
 196:         10857         347424  io.grpc.internal.AutoConfiguredLoadBalancerFactory
 197:         10857         347424  io.grpc.internal.ConnectivityStateManager
 198:         10857         347424  io.grpc.internal.DelayedClientTransport$1
 199:         10857         347424  io.grpc.internal.DelayedClientTransport$2
 200:         10857         347424  io.grpc.internal.DelayedClientTransport$PickerState
 201:         10857         347424  io.grpc.internal.ManagedChannelImpl$1ChannelCallTracerFactory
