10:
 num     #instances         #bytes  class name (module)
 126:           423          33840  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.6)
 127:           414          33120  io.netty.channel.DefaultChannelPipeline
 128:          1380          33120  java.util.LinkedHashSet (java.base@21.0.6)
 129:           363          31944  io.netty.channel.ChannelOutboundBuffer$Entry
 130:           443          31896  java.util.WeakHashMap (java.base@21.0.6)
 131:           398          31840  io.netty.channel.epoll.EpollSocketChannel$EpollSocketChannelUnsafe
 132:           398          31840  io.netty.channel.epoll.EpollSocketChannelConfig
 133:           634          30432  java.lang.Package (java.base@21.0.6)
 134:           126          30240  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class
 135:           942          30144  java.util.concurrent.atomic.LongAdder (java.base@21.0.6)
 136:           198          30096  java.util.jar.JarFile$JarFileEntry (java.base@21.0.6)
 137:           535          29960  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.6)
 138:           178          29904  org.jvnet.hk2.internal.SystemDescriptor
 139:          1220          29280  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultPropertyKey
 140:           261          29232  com.google.protobuf.Descriptors$FieldDescriptor
 141:          1589          29208  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.6)
 142:           719          28760  java.util.LinkedList (java.base@21.0.6)
 143:           703          28120  kotlin.SafePublicationLazyImpl
 144:           858          27456  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@21.0.6)
 145:           881          27432  [Ljava.lang.reflect.Type; (java.base@21.0.6)
 146:           244          27328  io.grpc.internal.TransportTracer
 147:           262          27248  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 148:           665          26600  java.util.LinkedList$Node (java.base@21.0.6)
 149:           414          26496  io.netty.channel.AbstractChannel$CloseFuture
 150:           828          26496  io.netty.channel.VoidChannelPromise
 151:           174          26448  sun.nio.fs.UnixFileAttributes (java.base@21.0.6)
 152:           550          26400  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
 153:           651          26040  com.google.inject.internal.SingleParameterInjector
 154:           542          26016  java.lang.invoke.MethodTypeForm (java.base@21.0.6)
 155:           402          25728  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 156:           122          25616  [Z (java.base@21.0.6)
 157:           145          25520  java.lang.Thread (java.base@21.0.6)
 158:           784          25088  io.netty.util.internal.DefaultPriorityQueue
 159:           437          24472  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.6)
 160:            49          24304  io.grpc.internal.ManagedChannelImpl
 161:           303          24240  java.util.TreeMap (java.base@21.0.6)
 162:           274          24112  io.netty.util.concurrent.ScheduledFutureTask
 163:           136          22912  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.6)
 164:           695          22240  java.net.Inet4Address (java.base@21.0.6)
 165:            78          21840  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.6)
 166:           908          21792  java.util.HashSet (java.base@21.0.6)
 167:           244          21472  io.netty.handler.codec.http2.DefaultHttp2ConnectionDecoder
 168:           244          21472  io.netty.handler.codec.http2.HpackEncoder
 169:           660          21120  com.github.benmanes.caffeine.cache.TimerWheel$Sentinel
 170:            94          21056  org.glassfish.hk2.internal.ConstantActiveDescriptor
 171:           174          20880  java.util.zip.ZipFile$Source (java.base@21.0.6)
 172:           289          20808  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@21.0.6)
 173:           517          20680  com.google.common.cache.LocalCache$StrongEntry
 174:            10          20640  [Lcom.aerospike.client.async.HashedWheelTimer$HashedWheelBucket;
 175:           858          20592  java.net.InetSocketAddress (java.base@21.0.6)
 176:           424          20352  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 177:           141          20304  com.fasterxml.jackson.databind.deser.CreatorProperty
