9:
 num     #instances         #bytes  class name (module)
 242:           883          98896  io.netty.buffer.PooledUnsafeDirectByteBuf
 243:          3001          96032  java.lang.invoke.ResolvedMethodName (java.base@21.0.6)
 244:          1914          91872  java.lang.invoke.LambdaForm$Name (java.base@21.0.6)
 245:          3736          89664  io.grpc.internal.PickFirstLoadBalancer$Picker
 246:           578          83232  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 247:          1104          79488  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.6)
 248:           426          74976  java.lang.Thread (java.base@21.0.6)
 249:          2314          74048  java.util.Random (java.base@21.0.6)
 250:           714          68544  java.util.concurrent.ConcurrentHashMap (java.base@21.0.6)
 251:          1161          65016  java.lang.invoke.DirectMethodHandle (java.base@21.0.6)
 252:           573          64176  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type
 253:           344          60544  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 254:          1424          56960  com.google.inject.Key
 255:           644          56672  io.netty.util.concurrent.ScheduledFutureTask
 256:           501          56112  java.lang.reflect.Field (java.base@21.0.6)
 257:          1725          55200  java.security.Provider$UString (java.base@21.0.6)
 258:           984          55104  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@21.0.6)
 259:           201          54424  [Ljava.lang.ClassValue$Entry; (java.base@21.0.6)
 260:          1113          53424  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
 261:           826          52864  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.6)
 262:           596          52448  io.netty.channel.ChannelOutboundBuffer$Entry
 263:          1310          52400  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.6)
 264:           142          52392  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.6)
 265:          1595          51040  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.6)
 266:          1063          51024  sun.util.locale.BaseLocale (java.base@21.0.6)
 267:          1046          50208  java.lang.ref.ReferenceQueue (java.base@21.0.6)
 268:          2079          49896  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 269:           684          49248  java.util.WeakHashMap (java.base@21.0.6)
 270:           768          49152  io.netty.buffer.PoolChunkList
 271:          1024          49152  io.netty.handler.codec.CodecOutputList
 272:           428          47936  java.net.URL (java.base@21.0.6)
 273:          1196          47840  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.6)
 274:           550          47632  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.6)
 275:          1187          47480  com.google.inject.spi.Dependency
 276:           388          46560  com.google.common.cache.LocalCache$Segment
 277:          1439          46048  com.google.inject.TypeLiteral
 278:           315          45488  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@21.0.6)
 279:            22          45408  [Lcom.aerospike.client.async.HashedWheelTimer$HashedWheelBucket;
 280:          1338          42816  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 281:           657          42048  java.lang.reflect.Parameter (java.base@21.0.6)
 282:          1044          41760  sun.util.locale.BaseLocale$Key (java.base@21.0.6)
 283:           400          41600  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
 284:           545          39240  java.lang.invoke.LambdaForm (java.base@21.0.6)
 285:           488          39040  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$ValueParameter
 286:          1600          38400  io.netty.buffer.IntPriorityQueue
 287:          1593          38232  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.6)
 288:          1134          36288  kotlin.reflect.jvm.internal.impl.name.FqName
 289:          1095          35040  org.bouncycastle.asn1.ASN1ObjectIdentifier
 290:           196          34496  io.netty.util.internal.InternalThreadLocalMap
 291:           418          33440  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.6)
 292:           825          33000  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.6)
 293:             8          32992  [Ljava.nio.ByteBuffer; (java.base@21.0.6)
 294:            59          31152  [Ljava.util.concurrent.ForkJoinTask; (java.base@21.0.6)
 295:           630          30240  java.lang.Package (java.base@21.0.6)
 296:           126          30240  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class
 297:           198          30096  java.util.jar.JarFile$JarFileEntry (java.base@21.0.6)
 298:           178          29904  org.jvnet.hk2.internal.SystemDescriptor
 299:           735          29400  java.util.LinkedList (java.base@21.0.6)
 300:          1595          29320  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.6)
 301:           118          29264  io.netty.channel.epoll.EpollEventLoop
 302:           261          29232  com.google.protobuf.Descriptors$FieldDescriptor
 303:           403          29016  java.util.concurrent.ThreadPoolExecutor$Worker (java.base@21.0.6)
 304:           906          28992  io.netty.handler.codec.http2.HpackHeaderField
 305:           507          28392  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.6)
 306:           321          28248  java.nio.DirectByteBuffer (java.base@21.0.6)
 307:           703          28120  kotlin.SafePublicationLazyImpl
 308:           886          27544  [Ljava.lang.reflect.Type; (java.base@21.0.6)
 309:            98          27440  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.6)
 310:           262          27248  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 311:           174          26448  sun.nio.fs.UnixFileAttributes (java.base@21.0.6)
 312:           550          26400  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
 313:           651          26040  com.google.inject.internal.SingleParameterInjector
 314:           122          25592  [Z (java.base@21.0.6)
 315:           637          25480  java.util.LinkedList$Node (java.base@21.0.6)
 316:           398          25472  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 317:           528          25344  java.lang.Thread$FieldHolder (java.base@21.0.6)
 318:           599          23960  kotlin.SynchronizedLazyImpl
 319:           238          23832  [Ljava.security.ProtectionDomain; (java.base@21.0.6)
 320:           493          23664  io.netty.util.Recycler$LocalPool
 321:           483          23184  java.lang.invoke.MethodTypeForm (java.base@21.0.6)
 322:            94          21056  org.glassfish.hk2.internal.ConstantActiveDescriptor
 323:           174          20880  java.util.zip.ZipFile$Source (java.base@21.0.6)
 324:           434          20832  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode (java.base@21.0.6)
 325:           517          20680  com.google.common.cache.LocalCache$StrongEntry
 326:           424          20352  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node
 327:           141          20304  com.fasterxml.jackson.databind.deser.CreatorProperty
 328:           153          19584  org.glassfish.hk2.utilities.DescriptorImpl
 329:           601          19200  [Ljava.security.cert.Certificate; (java.base@21.0.6)
 330:           140          19040  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
 331:            59          18880  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@21.0.6)
 332:           471          18840  java.math.BigInteger (java.base@21.0.6)
 333:           292          18688  com.google.inject.internal.ChildBindingAlreadySetError
 334:            97          18624  com.google.common.cache.LocalCache
 335:           582          18624  java.lang.Class$AnnotationData (java.base@21.0.6)
 336:           253          18216  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@21.0.6)
 337:           568          18176  io.netty.util.internal.LongAdderCounter
 338:           250          18000  jdk.internal.ref.Cleaner (java.base@21.0.6)
 339:           248          17856  java.util.logging.LogManager$LoggerWeakRef (java.logging@21.0.6)
 340:           130          17680  com.fasterxml.jackson.databind.deser.impl.FieldProperty
 341:           200          17600  java.lang.ClassValue$ClassValueMap (java.base@21.0.6)
 342:           550          17600  kotlin.reflect.jvm.internal.impl.renderer.DescriptorRendererOptionsImpl$property$$inlined$vetoable$1
 343:           244          17568  java.lang.Package$VersionInfo (java.base@21.0.6)
 344:           439          17560  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry
 345:           730          17520  com.fasterxml.jackson.databind.introspect.AnnotationMap
 346:           194          17072  io.netty.buffer.PoolThreadCache
 347:           526          16832  io.grpc.SynchronizationContext$ScheduledHandle
 348:           258          16512  java.security.AccessControlContext (java.base@21.0.6)
 349:             1          16400  [Lkotlinx.coroutines.internal.ThreadSafeHeapNode;
 350:           653          15672  java.util.LinkedHashMap$LinkedValues (java.base@21.0.6)
 351:           174          15312  java.util.jar.JarFile (java.base@21.0.6)
 352:           638          15312  kotlin.reflect.jvm.internal.impl.name.Name
 353:           318          15264  java.util.concurrent.FutureTask (java.base@21.0.6)
 354:           210          15120  ch.qos.logback.classic.Logger
 355:           376          15040  java.lang.module.ModuleDescriptor$Exports (java.base@21.0.6)
 356:           264          14784  sun.security.util.KnownOIDs (java.base@21.0.6)
 357:           184          14720  com.google.inject.internal.ProviderInstanceBindingImpl
 358:           202          14544  java.util.zip.Inflater (java.base@21.0.6)
 359:           361          14440  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@21.0.6)
 360:           178          14240  java.io.FileCleanable (java.base@21.0.6)
 361:           584          14016  com.google.common.cache.LocalCache$StrongValueReference
 362:           219          14016  java.lang.ref.Finalizer (java.base@21.0.6)
 363:            54          13664  [Lio.netty.buffer.IntPriorityQueue;
 364:           280          13440  com.fasterxml.jackson.databind.introspect.AnnotatedParameter
 365:           559          13416  io.grpc.internal.LogExceptionRunnable
 366:           104          13312  java.util.regex.Pattern (java.base@21.0.6)
 367:           208          13312  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@21.0.6)
 368:           398          12736  kotlin.reflect.jvm.internal.impl.name.ClassId
 369:           530          12720  java.util.concurrent.atomic.AtomicReferenceArray (java.base@21.0.6)
 370:           526          12624  io.grpc.SynchronizationContext$ManagedRunnable
 371:           525          12600  io.grpc.internal.ManagedChannelImpl$SubchannelImpl$1ShutdownSubchannel
 372:           174          12528  jdk.internal.loader.URLClassPath$JarLoader (java.base@21.0.6)
 373:           104          12480  com.google.protobuf.DescriptorProtos$DescriptorProto
 374:           221          12376  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$QualifiedNameTable$QualifiedName
 375:           103          12360  com.google.protobuf.Descriptors$Descriptor
 376:           384          12288  com.fasterxml.jackson.databind.introspect.MemberKey
 377:           219          12264  java.util.TreeMap$Entry (java.base@21.0.6)
